Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
447,Atalanta Planitia,Atalanta Planitia,Venus,2050,45.6,165.8,47.5,43.7,181.4,148.5,Planetocentric  +East  0 - 360,Europe,Greek,"Planitia, planitiae",PL,v13,Approved,1982,1,Greek mythical heroine.,,10/1/2006
448,Atanua Mons,Atanua Mons,Venus,1000,9.5,308.9,9.5,9.5,308.9,308.9,Planetocentric  +East  0 - 360,Oceania,Marquesas Islands,"Mons, montes",MO,v30,Approved,1997,1,Dawn goddess from Marquesas Islands.,,10/1/2006
449,Atargatis Corona,Atargatis Corona,Venus,360,-8,8.6,-8,-8,8.6,8.6,Planetocentric  +East  0 - 360,Asia,Turkey,"Corona, coronae",CR,v32,Approved,1994,83,Hittite fertility goddess.,,10/1/2006
452,Atete Corona,Atete Corona,Venus,600,-16,243.5,-16,-16,243.5,243.5,Planetocentric  +East  0 - 360,Africa,Ethiopia,"Corona, coronae",CR,v40,Approved,1994,107,Oromo (Ethiopia) fertility goddess.,,10/1/2006
454,Athena Tessera,Athena Tessera,Venus,1800,35,175,35,35,175,175,Planetocentric  +East  0 - 360,Europe,Greek,"Tessera, tesserae",TE,v13,Approved,1997,107,Greek goddess of wisdom.,,10/1/2006
455,Atira Mons,Atira Mons,Venus,152,52.2,267.6,52.3,52,268.8,266.5,Planetocentric  +East  0 - 360,North America,Pawnee,"Mons, montes",MO,v06,Approved,1985,1,Pawnee (N. America) wife of Great Spirit Tirawa.,,10/1/2006
456,Atla Regio,Atla Regio,Venus,3200,9.2,200.1,20.4,-3.3,206.2,187.3,Planetocentric  +East  0 - 360,Europe,Norway,"Regio, regiones",RE,v26,Approved,1982,27,"Norse giantess, mother of Heimdall.",,10/1/2006
461,Atropos Tessera,Atropos Tessera,Venus,469,71.5,304,72,71.1,310.9,297.2,Planetocentric  +East  0 - 360,Europe,Greek,"Tessera, tesserae",TE,v07,Approved,1985,1,Greek; one of three Fates.,,10/1/2006
462,Atse Estsan Corona,Atse Estsan Corona,Venus,150,8.5,92,8.5,8.5,92,92,Planetocentric  +East  0 - 360,North America,Navajo,"Corona, coronae",CR,v23,Approved,1994,83,Navajo fertility goddess.,,10/1/2006
463,Atsyrkhus Mons,Atsyrkhus Mons,Venus,170,-78.5,227,-78.5,-78.5,227,227,Planetocentric  +East  0 - 360,Europe,Caucasus,"Mons, montes",MO,v62,Approved,1997,107,"Ossetian, daughter of sun god Khur.",,5/15/2010
464,Attabeira Corona,Attabeira Corona,Venus,240,-1.5,211.5,-0.9,-2,212.2,210.7,Planetocentric  +East  0 - 360,South and Central America,Puerto Rico,"Corona, coronae",CR,v39,Approved,2003,127,Taino (Puerto Rico) fertility goddess.,,10/1/2006
467,Audhumla Corona,Audhumla Corona,Venus,225,45.5,12,45.5,45.5,12,12,Planetocentric  +East  0 - 360,Europe,Norse,"Corona, coronae",CR,v08,Approved,1994,83,Norse primordial nourisher.,,10/1/2006
469,Audra Planitia,Audra Planitia,Venus,1900,61,72,64,58,90,54,Planetocentric  +East  0 - 360,Europe,Lithuania,"Planitia, planitiae",PL,v03,Approved,1991,64,Lithuanian sea mistress.,,11/2/2009
470,Audrey,Audrey,Venus,15.2,23.8,348.1,23.8,23.8,348.1,348.1,Planetocentric  +East  0 - 360,Europe,England,"Crater, craters",AA,v31,Approved,1994,82,English first name.,,10/1/2006
472,Aurelia,Aurelia,Venus,31.1,20.3,331.8,20.3,20.3,331.8,331.8,Planetocentric  +East  0 - 360,Europe,Roman,"Crater, craters",AA,v31,Approved,1991,99,Mother of Julius Caesar.,,10/1/2006
478,Auska Dorsum,Auska Dorsum,Venus,361,59.9,357.8,61.1,58.4,359.9,355.8,Planetocentric  +East  0 - 360,Europe,Lithuania,"Dorsum, dorsa",DO,v07,Approved,1985,65,Lithuanian goddess of sun rays.,,10/1/2006
498,Aušrā Dorsa,Ausra Dorsa,Venus,859,49.4,25.3,52,46.8,29.8,20.8,Planetocentric  +East  0 - 360,Europe,Lithuania,"Dorsum, dorsa",DO,v08,Approved,1985,65,Lithuanian dawn goddess.,,11/17/2008
483,Austen,Austen,Venus,45.1,-25,168.4,-25,-25,168.4,168.4,Planetocentric  +East  0 - 360,Europe,England,"Crater, craters",AA,,Approved,1994,99,Jane; English novelist (1775-1817).,,10/1/2006
492,Austrina Vallis,Austrina Vallis,Venus,600,-49.5,177,-49.5,-49.5,177,177,Planetocentric  +East  0 - 360,Europe,Latvia,"Vallis, valles",VA,v49,Approved,1997,107,Latvian name for planet Venus.,,10/1/2006
502,Avene,Avene,Venus,10,40.4,149.4,40.4,40.4,149.4,149.4,Planetocentric  +East  0 - 360,Africa,Ghana,"Crater, craters",AA,v12,Approved,1997,107,Akan (Ghana) first name.,,10/1/2006
508,Avfruvva Vallis,Avfruvva Vallis,Venus,70,2,70,2,2,70,70,Planetocentric  +East  0 - 360,Europe,Finland,"Vallis, valles",VA,v22,Approved,1994,111,Saami (Lapp) river goddess.,,10/1/2006
512,Avviyar,Avviyar,Venus,20.6,-18,353.7,-18,-18,353.7,353.7,Planetocentric  +East  0 - 360,Asia,India,"Crater, craters",AA,v43,Approved,1991,84,Tamil poet (c. 100 B.C.).,,10/1/2006
513,Awenhai Mons,Awenhai Mons,Venus,100,-60,248,-60,-60,248,248,Planetocentric  +East  0 - 360,North America,Iroquois,"Mons, montes",MO,v60,Approved,1997,107,Mohawk/Iroquois fertility goddess.,,10/1/2006
518,Ayana,Ayana,Venus,13.8,-29.2,175.5,-29.2,-29.2,175.5,175.5,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,v49,Approved,1994,108,Altai first name.,,3/26/2014
519,Ayashe,Ayashe,Venus,6.7,22.7,31.4,22.7,22.7,31.4,31.4,Planetocentric  +East  0 - 360,Africa,Nigeria,"Crater, craters",AA,v21,Approved,1997,107,Hausa first name.,,10/1/2006
520,Ayisatu,Ayisatu,Venus,7,34.6,5.5,34.6,34.6,5.5,5.5,Planetocentric  +East  0 - 360,Africa,Mali,"Crater, craters",AA,v08,Approved,1997,107,Fulbe first name.,,10/1/2006
522,Ayrton Patera,Ayrton Patera,Venus,85,6,227.3,6,6,227.3,227.3,Planetocentric  +East  0 - 360,Europe,England,"Patera, paterae",PE,v27,Approved,1994,99,Hertha M.; English physicist (1854-1923).,,10/1/2006
14627,Azham Corona,Azham Corona,Venus,380,66.4,252.7,67.8,64.7,256.6,248.7,Planetocentric  +East  0 - 360,Europe,Caucasus,"Corona, coronae",CR,v06,Approved,9-Dec-09,65,Karachay and Balkar (N. Caucasus) great goddess of the nature forces.,,12/9/2009
14175,Azimua Tholi,Azimua Tholi,Venus,40,-34.05,249.35,-33.9,-34.2,249.7,249,Planetocentric  +East  0 - 360,Asia,Sumerian,"Tholus, tholi",TH,v52,Approved,2006,65,Sumerian underworld goddess.,,10/1/2006
530,Baba-Jaga Chasma,Baba Jaga Chasma,Venus,580,53.2,49.5,54.3,52.3,53.5,44.5,Planetocentric  +East  0 - 360,Europe,Slavic,"Chasma, chasmata",CM,v02,Approved,1985,65,Slavic forest witch.,,12/30/2008
538,Bachira,Bachira,Venus,7.3,26.5,10,26.5,26.5,10,10,Planetocentric  +East  0 - 360,Africa,Algeria,"Crater, craters",AA,v08,Approved,1997,107,Algerian first name.,,10/1/2006
540,Bachue Corona,Bachue Corona,Venus,463,73.3,261.4,73.7,73.1,268.4,254.4,Planetocentric  +East  0 - 360,South and Central America,Colombia,"Corona, coronae",CR,v06,Approved,1985,65,Chibcha (Colombia) goddess of fertility.,,10/1/2006
547,Badarzewska,Badarzewska,Venus,29.6,-22.6,137.2,-22.6,-22.6,137.2,137.2,Planetocentric  +East  0 - 360,Europe,Poland,"Crater, craters",AA,v36,Approved,1991,99,Thekla; Polish composer (1834-1861).,,10/1/2006
548,Badb Linea,Badb Linea,Venus,1750,14,15,14,14,15,15,Planetocentric  +East  0 - 360,Europe,Ireland,"Linea, lineae",LI,v20,Approved,1997,111,Irish war goddess.,,10/1/2006
554,Bagbartu Mons,Bagbartu Mons,Venus,600,65.5,279,65.5,65.5,279,279,Planetocentric  +East  0 - 360,Asia,Urartu,"Mons, montes",MO,v06,Approved,1997,107,"Urartu goddess, worshipped at Musasir.",,10/1/2006
650,Ba'het Corona,Bahet Corona,Venus,145,48.4,0.1,48.4,48.4,0.1,0.1,Planetocentric  +East  0 - 360,Africa,Egypt,"Corona, coronae",CR,v08,Approved,1997,27,Egyptian goddess of wealth and abundance.,Changed from Ba'het Patera.,7/10/2014
559,Bahriyat,Bahriyat,Venus,5,50.3,357.5,50.3,50.3,357.5,357.5,Planetocentric  +East  0 - 360,Europe,Caucasus,"Crater, craters",AA,v07,Approved,1997,107,Kumyk (Daghestan) first name.,,12/30/2008
