Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
15145,Rikyū,Rikyu,Mercury,22.4,79.91,337.26,80.17,79.64,338.77,335.76,Planetocentric  +East  0 - 360,Asia,Japan,"Crater, craters",AA,H-01,Approved,18-Jun-13,305,"Sen no; Japanese tea master, designer of Japanese tea ceremony (1522-1591).",,6/20/2013
5035,Rilke,Rilke,Mercury,82,-44.81,347.43,-43.85,-45.77,348.78,346.08,Planetocentric  +East  0 - 360,Europe,Germany,"Crater, craters",AA,H-11,Approved,1976,59,Rainer Maria; German poet (1875-1926).,,10/13/2016
5149,Rimbaud,Rimbaud,Mercury,78,-63.62,211.1,-62.71,-64.52,213.17,209.04,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-12,Approved,1985,59,Arthur; French poet (1854-1891).,,10/13/2016
15320,Rivera,Rivera,Mercury,40,69.29,32.18,69.73,68.85,33.51,30.85,Planetocentric  +East  0 - 360,North America,Mexico,"Crater, craters",AA,H-01,Approved,30-Apr-15,59,Diego; Mexican painter (1886-1957).,,10/13/2016
5169,Rodin,Rodin,Mercury,230,21.72,341.11,24.42,19,344.02,338.2,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-06,Approved,1976,59,Auguste; French sculptor (1840-1917).,,10/13/2016
15105,Roerich,Roerich,Mercury,111.67,-84.39,301.06,-82.9,-85.87,316.43,285.69,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,H-15,Approved,15-Mar-13,75,Nicholas; Russian painter (1874-1947).,,3/15/2013
5211,Rubens,Rubens,Mercury,158,60.58,282.01,62.39,58.74,285.78,278.24,Planetocentric  +East  0 - 360,Europe,Flemish,"Crater, craters",AA,H-02,Approved,1979,59,Peter Paul; Flemish painter (1577-1640).,,10/13/2016
5213,Rublev,Rublev,Mercury,129,-15.12,202.92,-13.59,-16.64,204.5,201.34,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,H-08,Approved,1976,59,Andrey; Russian painter (c. 1370-1430).,,10/13/2016
5252,Rūdaki,Rudaki,Mercury,124,-3.97,308.24,-2.52,-5.42,309.69,306.78,Planetocentric  +East  0 - 360,Asia,Persian,"Crater, craters",AA,H-06,Approved,1976,59,Persian poet (c. 859-940/941).,,10/13/2016
5216,Rude,Rude,Mercury,68,-33.22,280.71,-32.49,-33.96,281.66,279.76,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-11,Approved,1985,59,Francois; French sculptor (1784-1855).,,10/13/2016
5253,Rūmī,Rumi,Mercury,75,-24.2,254.7,-23.32,-25.08,255.67,253.73,Planetocentric  +East  0 - 360,Asia,Persian,"Crater, craters",AA,H-12,Approved,1985,59,"Jalal Ad-Din, also Mawlana; Persian poet and Sufi mystic (1207-1273).",,10/13/2016
14971,Rustaveli,Rustaveli,Mercury,200,52.41,82.74,54.59,50.21,86.33,79.15,Planetocentric  +East  0 - 360,Asia,Georgia,"Crater, craters",AA,H-05,Approved,24-Apr-12,64,Shota; Georgian poet (c. 1160-1216).,,10/13/2016
15176,Ruysch,Ruysch,Mercury,64,-10.7,94.12,-9.95,-11.46,94.86,93.39,Planetocentric  +East  0 - 360,Europe,Netherlands (Dutch),"Crater, craters",AA,H-09,Approved,22-Nov-13,99,Rachel; Netherland painter (1664-1750).,,10/13/2016
5271,Sadī,Sadi,Mercury,66.54,-79.24,308.74,-78.5,-79.98,312.7,304.79,Planetocentric  +East  0 - 360,Asia,Persian,"Crater, craters",AA,H-15,Approved,1976,59,Persian poet (c. 1213-1291/1292).,,3/7/2011
5279,Saikaku,Saikaku,Mercury,64,71.96,182.03,72.88,71.02,185.04,179.02,Planetocentric  +East  0 - 360,Asia,Japan,"Crater, craters",AA,H-01,Approved,1979,59,Ihara; Japanese novelist and poet (1642-1693).,,10/13/2016
15246,Sanai,Sanai,Mercury,490,-13.37,353.01,-7.69,-18.92,358.92,347.08,Planetocentric  +East  0 - 360,Asia,Persian,"Crater, craters",AA,H-06,Approved,23-Jun-14,335,"Sanai of Ghazna, Abul Majd bin Majdud bin Adam; Persian poet (d. c. 1131).",,10/13/2016
14395,Sander,Sander,Mercury,47,42.43,154.56,42.97,41.88,155.32,153.8,Planetocentric  +East  0 - 360,Europe,Germany,"Crater, craters",AA,H-04,Approved,8-Apr-08,59,August; German photographer (1876-1964).,,10/13/2016
5312,Santa María Rupes,Santa Maria Rupes,Mercury,227,5.81,340,7.94,3.48,341.11,338.66,Planetocentric  +East  0 - 360,Europe,Spain,"Rupes, rupēs",RU,H-06,Approved,1976,59,"Spanish; Columbus' flagship, first voyage to America, 1492.",,10/13/2016
